actor,imdb_mean
2 Chainz,7.0
4Minute,6.2
50 Cent,5.860000000000001
A Boogie Wit tha Hoodie,7.0
A. Murat Özgen,6.8
A.C. Peterson,6.5
A.D. Miles,6.533333333333334
A.J. Cook,7.15
A.J. LoCascio,6.599999999999999
A.K. Hangal,7.533333333333334
A.R. Rahman,8.6
A.S. Sasi Kumar,8.0
AFRA,7.6
AJ Bowen,5.8
AJ Michalka,7.8
AJ Rivera,5.0
Aabhas Yadav,8.4
Aachal Munjal,5.6
Aadarsh Balakrishna,7.1
Aadhi,6.8
Aaditi Pohankar,5.949999999999999
Aaditya Pratap Singh,6.0
Aadukalam Naren,6.6
Aadya Bedi,7.0
Aahana Kumra,6.15
Aakarshan Singh,5.8
Aakash Dabhade,7.049999999999999
Aakash Dahiya,5.5
Aakash Pandey,7.7
Aakshath Das,6.8
Aamina Sheikh,6.4
Aamir Ahmed,5.8
Aamir Bashir,7.175
Aamir Khan,7.286666666666666
Aanand Kale,3.9
Aanchal Munjal,4.1
Aarif Rahman,5.2
Aarjav Trivedi,6.9
Aarna Sharma,6.5
Aarohi Patel,8.3
Aaron Abrams,5.7749999999999995
Aaron Altaras,8.0
Aaron Ashmore,7.4
Aaron Blakely,6.7
Aaron Burns,5.1
Aaron Carpenter,3.7
Aaron Chen,8.1
Aaron Dismuke,7.7
Aaron Douglas,6.099999999999999
Aaron Eckhart,6.22
Aaron Eisenberg,7.2
Aaron Farb,4.6
Aaron Glenane,7.0
Aaron Guy,6.8
Aaron Hale,6.8
Aaron Hernandez,7.4
Aaron Hilmer,6.7
Aaron Himelstein,7.0
Aaron Jakubenko,7.1
Aaron Jeffery,6.35
Aaron Keogh,6.4
Aaron Kwok,6.5
Aaron L. McGrath,7.25
Aaron Marsden,3.7
Aaron Marshall,7.0
Aaron McCusker,4.1
Aaron Merke,4.2
Aaron Moorhead,6.5
Aaron Moten,6.8
Aaron Munoz,3.9
Aaron Paul,7.5
Aaron Pearl,5.3
Aaron Pedersen,6.5
Aaron Pruner,5.7
Aaron Stanford,4.65
Aaron Staton,8.6
Aaron Taylor-Johnson,7.166666666666667
Aaron Tveit,7.6
Aaron Wolff,7.0
Aaron Yan,6.975
Aaron Yoo,6.2
Aarti Chhabria,7.1
Aarti Mann,6.7
Aarti Patel,8.3
Aarya DharmChand Kumar,8.2
Aaryan Menon,5.8
Aaryansh Malviya,6.5
